S	V	tags
1.4900000000000001e-8	1	NA
1.4925e-8	1	NA
1.495e-8	1	NA
1.4975e-8	1	NA
1.5000000000000002e-8	1	NA
1.5025e-8	1	NA
1.505e-8	1	NA
1.5075e-8	1	NA
1.51e-8	1	NA
1.5125e-8	1	NA
1.515e-8	1	NA
1.5175000000000002e-8	1	NA
1.52e-8	1	NA
1.5225e-8	1	NA
1.525e-8	1	NA
1.5275e-8	1	NA
1.53e-8	1	NA
1.5325e-8	1	NA
1.5350000000000002e-8	1	NA
1.5375e-8	1	NA
1.54e-8	1	NA
1.5425e-8	1	NA
1.545e-8	1	NA
1.5475e-8	1	NA
1.55e-8	1	NA
1.5525000000000002e-8	1	NA
1.555e-8	1	NA
1.5575000000000002e-8	1	NA
1.56e-8	1	NA
1.5625e-8	1	NA
1.565e-8	1	NA
1.5675e-8	1	NA
1.57e-8	1	NA
1.5725e-8	1	NA
1.5750000000000002e-8	1	NA
1.5775e-8	1	NA
1.58e-8	1	NA
1.5825e-8	1	NA
1.585e-8	1	NA
1.5875e-8	1	NA
1.59e-8	1	NA
1.5925000000000002e-8	1	NA
1.595e-8	1	NA
1.5975e-8	1	NA
1.6e-8	1	NA
1.6025e-8	1	NA
1.605e-8	1	NA
1.6075e-8	1	NA
1.6100000000000002e-8	1	NA
1.6125e-8	1	NA
1.615e-8	1	NA
1.6175e-8	1	NA
1.62e-8	1	NA
1.6225e-8	1	NA
1.625e-8	1	NA
1.6275000000000002e-8	1	NA
1.63e-8	1	NA
1.6325e-8	1	NA
1.635e-8	1	NA
1.6375e-8	1	NA
1.64e-8	1	NA
1.6425e-8	1	NA
1.6450000000000002e-8	1	NA
1.6475e-8	1	NA
1.6500000000000002e-8	1	NA
1.6525e-8	1	NA
1.655e-8	1	NA
1.6575e-8	1	NA
1.66e-8	1	NA
1.6625e-8	1	NA
1.665e-8	1	NA
1.6675000000000002e-8	1	NA
1.67e-8	1	NA
1.6725e-8	1	NA
1.675e-8	1	NA
1.6775e-8	1	NA
1.68e-8	1	NA
1.6825e-8	1	NA
1.6850000000000002e-8	1	NA
1.6875e-8	1	NA
1.69e-8	1	NA
1.6925e-8	1	NA
1.695e-8	1	NA
1.6975e-8	1	NA
1.7e-8	1	NA
1.7025000000000002e-8	1	NA
1.705e-8	1	NA
1.7075e-8	1	NA
1.71e-8	1	NA
1.7125e-8	1	NA
1.715e-8	1	NA
1.7175e-8	1	NA
1.7200000000000002e-8	1	NA
1.7225e-8	1	NA
1.7250000000000002e-8	1	NA
1.7275e-8	1	NA
1.73e-8	1	NA
1.7325e-8	1	NA
1.735e-8	1	NA
1.7375000000000002e-8	1	NA
1.74e-8	1	NA
1.7425000000000002e-8	1	NA
1.745e-8	1	NA
1.7475e-8	1	NA
1.75e-8	1	NA
1.7525e-8	1	NA
1.755e-8	1	NA
1.7575e-8	1	NA
1.7600000000000002e-8	1	NA
1.7625e-8	1	NA
1.765e-8	1	NA
1.7675e-8	1	NA
1.77e-8	1	NA
1.7725e-8	1	NA
1.775e-8	1	NA
1.7775000000000002e-8	1	NA
1.78e-8	1	NA
1.7825e-8	1	NA
1.785e-8	1	NA
1.7875e-8	1	NA
1.79e-8	1	NA
1.7925e-8	1	NA
1.7950000000000002e-8	1	NA
1.7975e-8	1	NA
1.8e-8	1	NA
1.8025e-8	1	NA
1.805e-8	1	NA
1.8075e-8	1	NA
1.81e-8	1	NA
1.8125000000000002e-8	1	NA
1.815e-8	1	NA
1.8175000000000002e-8	1	NA
1.82e-8	1	NA
1.8225e-8	1	NA
1.825e-8	1	NA
1.8275e-8	1	NA
1.8300000000000002e-8	1	NA
1.8325e-8	1	NA
1.8350000000000002e-8	1	NA
1.8375e-8	1	NA
1.84e-8	1	NA
1.8425e-8	1	NA
1.845e-8	1	NA
1.8475000000000002e-08	1	NA
1.85e-8	1	NA
1.8525000000000002e-8	1	NA
1.855e-8	1	NA
1.8575e-8	1	NA
1.86e-8	1	NA
1.8625e-8	1	NA
1.865e-8	1	NA
1.8675e-8	1	NA
1.8700000000000002e-8	1	NA
1.8725e-8	1	NA
1.875e-8	1	NA
1.8775e-8	1	NA
1.88e-8	1	NA
1.8825e-8	1	NA
1.885e-8	1	NA
1.8875000000000002e-8	1	NA
1.89e-8	1	NA
1.8925e-8	1	NA
1.895e-8	1	NA
1.8975e-8	1	NA
1.9e-8	1	NA
1.9025e-8	1	NA
1.9050000000000002e-8	1	5T - 2T
1.9075e-8	-1	NA
1.9100000000000002e-8	-1	NA
1.9125e-8	-1	NA
1.915e-8	-1	NA
1.9175e-8	-1	NA
1.92e-8	-1	NA
1.9225000000000002e-8	-1	NA
1.925e-8	-1	NA
1.9275000000000002e-8	-1	NA
1.93e-8	-1	NA
1.9325e-8	-1	NA
1.935e-8	-1	NA
1.9375e-8	-1	NA
1.9400000000000002e-8	-1	NA
1.9425e-8	-1	NA
1.9450000000000002e-8	-1	NA
1.9475e-8	-1	NA
1.95e-8	-1	NA
1.9525e-8	-1	NA
1.955e-8	-1	NA
1.9575e-8	-1	NA
1.96e-8	-1	NA
1.9625000000000002e-8	-1	NA
1.965e-8	-1	NA
1.9675e-8	-1	NA
1.97e-8	-1	NA
1.9725e-8	-1	NA
1.975e-8	-1	NA
1.9775e-8	-1	NA
1.9800000000000002e-8	-1	NA
1.9825e-8	-1	NA
1.985e-8	-1	NA
1.9875e-8	-1	NA
1.99e-8	-1	NA
1.9925e-8	-1	NA
1.995e-8	-1	NA
1.9975000000000002e-8	-1	NA
2e-8	-1	NA
2.0025000000000002e-8	-1	NA
2.005e-8	-1	NA
2.0075e-8	-1	NA
2.01e-8	-1	NA
2.0125e-8	-1	NA
2.0150000000000002e-8	-1	NA
2.0175e-8	-1	NA
2.0200000000000002e-8	-1	NA
2.0225e-8	-1	NA
2.025e-8	-1	NA
2.0275e-8	-1	NA
2.03e-8	-1	NA
2.0325000000000002e-8	-1	NA
2.035e-8	-1	NA
2.0375000000000002e-8	-1	NA
2.04e-8	-1	NA
2.0425e-8	-1	NA
2.045e-8	-1	NA
2.0475e-8	-1	NA
2.05e-8	-1	NA
2.0525e-8	-1	NA
2.0550000000000002e-8	-1	NA
2.0575e-8	-1	NA
2.06e-8	-1	NA
2.0625e-8	-1	NA
2.065e-8	-1	NA
2.0675e-8	-1	NA
2.07e-8	-1	NA
2.0725000000000002e-8	-1	NA
2.075e-8	-1	NA
2.0775000000000002e-8	-1	NA
2.08e-8	-1	NA
2.0825e-8	-1	NA
2.085e-8	-1	NA
2.0875e-8	-1	NA
2.0900000000000002e-8	-1	NA
2.0925e-8	-1	NA
2.0950000000000002e-8	-1	NA
2.0975e-8	-1	NA
2.1e-8	-1	NA
2.1025e-8	-1	NA
2.105e-8	-1	2T - 4T
2.1075000000000002e-8	1	NA
2.11e-8	1	NA
2.1125000000000002e-8	1	NA
2.115e-8	1	NA
2.1175e-8	1	NA
2.12e-8	1	NA
2.1225e-8	1	NA
2.1250000000000002e-8	1	NA
2.1275e-8	1	NA
2.1300000000000002e-8	1	NA
2.1325e-8	1	NA
2.135e-8	1	NA
2.1375e-8	1	NA
2.14e-8	1	NA
2.1425e-8	1	NA
2.145e-8	1	NA
2.1475000000000002e-8	1	NA
2.15e-8	1	NA
2.1525e-8	1	NA
2.155e-8	1	NA
2.1575e-8	1	NA
2.16e-8	1	NA
2.1625e-8	1	NA
2.1650000000000002e-8	1	NA
2.1675e-8	1	NA
2.1700000000000002e-8	1	NA
2.1725e-8	1	NA
2.175e-8	1	NA
2.1775e-8	1	NA
2.18e-8	1	NA
2.1825000000000002e-8	1	NA
2.185e-8	1	NA
2.1875000000000002e-8	1	NA
2.19e-8	1	NA
2.1925e-8	1	NA
2.195e-8	1	NA
2.1975e-8	1	NA
2.2000000000000002e-8	1	NA
2.2025e-8	1	NA
2.2050000000000002e-8	1	NA
2.2075e-8	1	NA
2.21e-8	1	NA
2.2125e-8	1	NA
2.215e-8	1	NA
2.2175000000000002e-8	1	NA
2.22e-8	1	NA
2.2225000000000002e-8	1	NA
2.225e-8	1	NA
2.2275e-8	1	NA
2.23e-8	1	NA
2.2325e-8	1	NA
2.235e-8	1	NA
2.2375e-8	1	NA
2.2400000000000002e-8	1	NA
2.2425e-8	1	NA
2.245e-8	1	NA
2.2475e-8	1	NA
2.25e-8	1	NA
2.2525e-8	1	NA
2.255e-8	1	NA
2.2575000000000002e-8	1	NA
2.26e-8	1	NA
2.2625000000000002e-8	1	NA
2.265e-8	1	NA
2.2675e-8	1	NA
2.27e-8	1	NA
2.2725e-8	1	NA
2.2750000000000002e-8	1	NA
2.2775e-8	1	NA
2.2800000000000002e-8	1	NA
2.2825e-8	1	NA
2.285e-8	1	NA
2.2875e-8	1	NA
2.29e-8	1	NA
2.2925000000000002e-8	1	NA
2.295e-8	1	NA
2.2975000000000002e-8	1	NA
2.3e-8	1	NA
2.3025e-8	1	NA
2.305e-8	1	NA
2.3075e-8	1	NA
2.3100000000000002e-8	1	NA
2.3125e-8	1	NA
2.3150000000000002e-8	1	NA
2.3175e-8	1	NA
2.32e-8	1	NA
2.3225e-8	1	NA
2.325e-8	1	NA
2.3275e-8	1	NA
2.33e-8	1	NA
2.3325000000000002e-8	1	NA
2.335e-8	1	NA
2.3375e-8	1	NA
2.34e-8	1	NA
2.3425e-8	1	NA
2.345e-8	1	NA
2.3475e-8	1	NA
2.3500000000000002e-8	1	NA
2.3525e-8	1	NA
2.3550000000000002e-8	1	NA
2.3575e-8	1	NA
2.36e-8	1	NA
2.3625e-8	1	NA
2.365e-8	1	NA
2.3675000000000002e-8	1	NA
2.37e-8	1	NA
2.3725000000000002e-8	1	NA
2.375e-8	1	NA
2.3775e-8	1	NA
2.38e-8	1	NA
2.3825e-8	1	NA
2.3850000000000002e-8	1	NA
2.3875e-8	1	NA
